#Q.3.a:Workload#2 throughput as a function of k for the population vector(20, k),k=0,1,2,3,...,15
#k	Xo,w2
0	0.000000
1	0.135793
2	0.263283
3	0.381588
4	0.489989
5	0.588040
6	0.675662
7	0.753198
8	0.821378
9	0.881230
10	0.933938
11	0.980694
12	1.022585
13	1.060531
14	1.095268
15	1.127357
16	1.157223
17	1.185183
18	1.211477
19	1.236291
20	1.259774
21	1.282049
22	1.303219
23	1.323373
24	1.342590
25	1.360939
26	1.378482
27	1.395275
28	1.411367
29	1.426806
30	1.441631
31	1.455881
32	1.469592
33	1.482793
34	1.495516
35	1.507785
36	1.519628
37	1.531065
38	1.542120
39	1.552811
40	1.563157
41	1.573175
42	1.582881
43	1.592290
44	1.601416
45	1.610271
46	1.618869
47	1.627220
48	1.635336
49	1.643226
50	1.650900
51	1.658368
52	1.665636
53	1.672715
54	1.679611
55	1.686331
56	1.692882
57	1.699271
58	1.705504
59	1.711586
60	1.717524
61	1.723321
62	1.728984
63	1.734517
64	1.739925
65	1.745211
66	1.750380
67	1.755437
68	1.760383
69	1.765224
70	1.769963
71	1.774603
72	1.779147
73	1.783597
74	1.787958
75	1.792231
76	1.796420
77	1.800526
78	1.804553
79	1.808502
80	1.812376
81	1.816178
82	1.819908
83	1.823569
84	1.827164
85	1.830693
86	1.834159
87	1.837563
88	1.840907
89	1.844193
90	1.847422
91	1.850596
92	1.853715
93	1.856782
94	1.859798
95	1.862764
96	1.865681
97	1.868550
98	1.871374
99	1.874152
100	1.876886
101	1.879577
102	1.882226
103	1.884834
104	1.887401
105	1.889930
106	1.892420
107	1.894872
108	1.897289
109	1.899669
110	1.902015
111	1.904326
112	1.906604
113	1.908849
114	1.911062
115	1.913244
116	1.915395
117	1.917517
118	1.919609
119	1.921672
120	1.923707
121	1.925714
122	1.927695
123	1.929648
124	1.931576
125	1.933479
126	1.935356
127	1.937209
128	1.939038
129	1.940844
130	1.942626
131	1.944387
132	1.946124
133	1.947841
134	1.949535
135	1.951209
136	1.952862
137	1.954495
138	1.956109
139	1.957702
140	1.959277
141	1.960833
142	1.962370
143	1.963890
144	1.965392
145	1.966876
146	1.968343
147	1.969793
148	1.971227
149	1.972644
150	1.974046
151	1.975431
152	1.976802
153	1.978156
154	1.979496
155	1.980821
156	1.982132
157	1.983429
158	1.984711
159	1.985980
160	1.987235
161	1.988477
162	1.989706
163	1.990922
164	1.992125
165	1.993316
166	1.994494
167	1.995660
168	1.996815
169	1.997957
170	1.999088
171	2.000208
172	2.001316
173	2.002413
174	2.003500
175	2.004575
176	2.005640
177	2.006695
178	2.007739
179	2.008774
180	2.009798
181	2.010813
